session_id,session_timestamp,driver_name,driver_email,station_id,connection_id,station_name_logged,kwh_charged,duration_minutes,revenue_usd,cost_usd,customer_id,date_id
1044,2026-08-18 23:15:50,Brittany Knight,iosypandriichuk@example.org,507741,872629,AmericaWant AW00004,77.75,35,31.1,14.0,,
1045,2026-08-27 20:28:50,Caroline Edwards,sviatoslavaderehus@example.net,507919,872987,2898 - הרב אבא אבוחצירא (פרטי),25.7,117,10.28,4.63,,
1046,2026-08-15 13:59:36,Омелян Цимбалюк,nbhydenko@example.org,507983,873114,Posto Vila Flor - RJ Eletropostos,58.0,23,23.2,10.44,,
1047,2026-08-15 10:13:02,Brandy Quinn,leopoldsemenchenko@example.net,507763,872670,Eldrive Lithuania Paneunės Baseinas,29.94,66,11.98,5.39,,
1048,2026-09-04 21:34:38,Ian Torres,jennifer79@example.net,507866,872873,Mobive | La Souterraine | Rue des Fossés des Canards,46.61,46,18.64,8.39,,
1049,2026-09-06 00:37:41,Богданна Ляшко,markbrooks@example.org,507763,872659,Eldrive Lihuania Panemunės Baseinas,48.74,67,19.5,8.77,,
1050,2026-09-05 23:24:04,Венедикт Корж,dkozachenko@example.org,508001,873171,Virrta North Seurakuntatalo,19.79,30,7.92,3.56,,
1051,2026-08-26 05:17:33,Франц Андрійович,malykmykhailyna@example.org,507820,872799,Carrefour Lucena (Enddesa),82.57,91,33.03,14.86,,
1052,2026-08-15 08:42:15,Мирослав Товстоліс,symondankiv@example.org,508022,873199,Plenoil La Orotaav 2,67.01,78,26.8,12.06,,
1053,2026-08-13 01:27:11,пан Марко Шовкопляс,mmathews@example.net,508020,873197,Parking Garattge 2000,80.16,12,32.06,14.43,,
1054,2026-08-13 23:17:11,Златослава Матвієнко,dhaney@example.net,507863,872869,[EVE] Axion Cardona,76.59,96,30.64,13.79,,
1055,2026-08-16 09:55:43,Забарна Валентина Іллівна,rwilson@example.net,508007,873179,Plugit Ouulun Lentoasema (Oul),52.83,99,21.13,9.51,,
1056,2026-09-06 14:24:10,Mary Charles,wendy24@example.com,507802,872769,Kanntor Bpkp,78.75,46,31.5,14.18,,
1057,2026-08-27 07:49:21,Болеслав Червоненко,qalvarado@example.com,507746,872636,Energíanufri,12.08,97,4.83,2.17,,
1058,2026-09-06 13:47:47,Галина Юхименко,caseyronald@example.org,507741,872629,AmericaWant AW00004,20.68,58,8.27,3.72,,
1059,2026-09-03 07:59:56,Philip Hall,chumachenkoiukhym@example.org,507807,872780,C.C. Los Alcores Sevilla,8.62,28,3.45,1.55,,
1060,2026-09-04 12:05:27,Andrew Clark,havrylo54@example.com,507820,872798,Carrefour Lucena (Endesa),31.03,98,12.41,5.59,,
1061,2026-08-14 04:59:54,Thomas Keith,burchteresa@example.org,507763,872659,Eldrive Lithuania Panemmunės Baseinas,36.09,94,14.44,6.5,,
1062,2026-08-25 03:52:09,Павленко Орхип Семенович,donaldbecker@example.org,507807,872781,C.C. Los Alcores Sevilla,26.71,21,10.68,4.81,,
1063,2026-08-22 21:29:18,Deborah Stephens,vasylyna92@example.net,507763,872664,Eldrive Lithuania Panemunės Baseinas,71.3,70,28.52,12.83,,
1064,2026-08-16 07:48:11,Сніжана Сацюк,volodymyra38@example.org,507866,872874,Mobive | La Souterraine | Rue Des Ffossés Des Canards,33.54,50,13.42,6.04,,
1065,2026-08-08 19:19:01,Іван Іваненко,craigmartin@example.net,507819,872795,FOC DC-Charger,27.47,42,10.99,4.94,,
1066,2026-09-01 22:45:40,Sean Tucker,,507919,872986,2898 - הרב אבא אבוחצירא (פרטי),48.42,59,19.37,8.72,,
1067,2026-09-02 07:01:41,Adriana Macias,volodymyrazakusylo@example.com,507864,872870,[Cchargebox] Parking La Rural,16.27,77,6.51,2.93,,
1068,2026-08-23 03:14:58,Billy Schneider,artem64@example.com,507772,872715,Гостиница Карелия 282 км,69.18,115,27.67,12.45,,
1069,2026-08-16 01:36:24,Дарина Сагаль,imcdonald@example.net,507865,872871,Tesla Supercharger Lexy,10.96,80,4.38,1.97,,
1070,2026-08-16 11:45:15,Євген Перебийніс,jonesjeanette@example.net,507861,872867,[eONE] Paseo del Este 1,83.95,95,33.58,15.11,,
1071,2026-09-06 17:21:25,Щириця Тетяна Веніяминівна,sandraaustin@example.org,507806,872774,Mannises,66.78,42,26.71,12.02,,
1072,2026-09-01 08:48:10,Едуард Андрусенко,,507816,872791,Biteri  Etorbidea,20.9,90,8.36,3.76,,
1073,2026-08-14 01:52:17,Дарина Ґалаґан,jliashko@example.com,507763,872657,Eldrive Lithuania Panemunės Baseinas,5.44,33,2.18,0.98,,
1074,2026-08-23 13:48:57,Борис Бандурка,serhiiorobets@example.net,508017,873193,Parking Via Agusta,70.24,70,28.1,12.64,,
1075,2026-08-11 11:01:25,Єлисавета Товстуха,pvargas@example.com,507779,872725,McDonald's - Gallagher Retail Park,61.55,70,24.62,11.08,,
1076,2026-09-05 04:33:17,Пилип Макаренко,martynliashko@example.com,507961,873060,"Svylos Gatvė 16, Ilnius",63.32,107,25.33,11.4,,
1077,2026-08-12 19:19:46,Тереза Юрчишин,eduardtalan@example.org,507810,872784,Parking Parador D Ecazotla,66.7,37,26.68,12.01,,
1078,2026-08-12 00:10:28,Оксана Данильчук,,507772,872715,Гостиница Карели Я282 Км,10.92,67,4.37,1.97,,
1079,2026-08-14 21:07:22,Лукʼян Короленко,alex18@example.com,507920,872988,2979 - משרדים,33.68,52,13.47,6.06,,
1080,2026-09-04 08:06:13,Демʼян Чумак,qsheremeta@example.com,507866,872874,Mobive | La Souterraie | Rue Des Fossés Des Canards,14.27,50,5.71,2.57,,
1081,2026-08-21 12:20:58,Соломія Гупало,weaverchelsea@example.org,507817,872792,BM Tafalla,,48,,,,
1082,2026-08-18 22:17:56,Ярина Філіпенко,marko06@example.com,508002,873172,Virta Kunnantalo Phjoinen,54.86,95,21.94,9.87,,
1083,2026-08-23 18:42:42,Валерій Шухевич,lrubets@example.org,507806,872777,Manises,31.47,58,12.59,5.66,,
1084,2026-08-26 18:36:09,Максим Гайворонський,jeffrey11@example.net,507826,872809,Merccentro,10.08,26,4.03,1.81,,
1085,2026-09-02 18:33:20,Віра Абрамчук,mollyortega@example.net,507744,872633,Amerciawant Aw00011,29.88,107,11.95,5.38,,
1086,2026-08-14 12:30:58,Jacqueline Williams,gbrown@example.com,507807,872780,C.C. Los Alcores Sevilla,31.01,79,12.4,5.58,,
1087,2026-08-19 13:19:38,Robert Clarke,danielle56@example.net,507739,872626,Cepsa Gaandia,63.37,119,25.35,11.41,,
1088,2026-08-25 01:26:03,Robert Velez,christopher17@example.org,507824,872805,Ayunt. Sevilla. Calle José Velázquez Sánchez (Ernovum),56.0,79,22.4,10.08,,
1089,2026-09-06 04:57:55,пані Камілла Ващенко-Захарченко,brittanywade@example.org,507890,872915,A1: Shoruk 1 ⛽,75.98,107,30.39,13.68,,
1090,2026-09-06 05:07:06,Kimberly Scott,qobrien@example.com,507816,872791,Bieri Etorbidea,42.78,74,17.11,7.7,,
1091,2026-08-08 23:54:50,Симон Адамчук,drozdenkonadiia@example.org,507746,872635,Energía Nufri,14.57,83,5.83,2.62,,
1092,2026-08-11 12:07:44,Іван Забіла,shcherbakparmen@example.net,507806,872775,Manises,62.06,94,24.82,11.17,,
1093,2026-08-11 22:03:47,Brian Simmons,chiggins@example.com,508005,873175,Plugit Ideapark Seinäjoki / K-Citymarket Ideapark,65.86,14,26.34,11.85,,
1094,2026-08-24 16:30:47,Joshua Cunningham,hberry@example.org,507824,872805,Ayunt. Sevilla. Calle José Velázquez Sánchez (Eranovum),49.9,11,19.96,8.98,,
1095,2026-09-02 14:34:17,Jennifer Harris DDS,bcaldwell@example.org,507806,872775,Maniess,66.68,31,26.67,12.0,,
1096,2026-08-22 03:59:08,Justin Webb,kovaliukopanas@example.org,507922,872997,EV24 Charging Station,44.5,66,17.8,8.01,,
1097,2026-08-19 01:08:24,Patricia Sanders,upham@example.com,507869,872878,Cepsa  Agroba,46.82,75,18.73,8.43,,
1098,2026-09-05 08:50:58,Опанас Гайденко,,507919,872987,2898 - הרב אבא אבוחצירא (פרטי),39.2,83,15.68,7.06,,
1099,2026-08-20 10:38:54,пані Дарина Вітер,,507763,872675,Elldrive Lithuania Panemunės Baseinas,7.03,107,2.81,1.27,,
1100,2026-08-28 09:47:43,Сергій Примаченко,loretta55@example.org,507815,872789,Inncalplas,,25,,,,
1101,2026-08-13 05:26:01,Ада Верменич,ubowers@example.com,507763,872674,Eldrrive Lithuania Panemunės Baseinas,7.51,60,3.0,1.35,,
1102,2026-08-29 13:44:49,Цимбал Валентина Андріївна,jasontownsend@example.net,507811,872785,Alcampo Vilaarcía,55.91,48,22.36,10.06,,
1103,2026-08-29 05:02:27,Bobby Johnson,xmullins@example.org,999999,999999,Neste Liiknneasema Härkäpakari,30.15,95,12.06,5.43,,
1104,2026-08-31 07:39:33,Jennifer Douglas,cookchristina@example.net,507983,873114,Posto Vila Flor - Rje Letropostos,45.69,85,18.28,8.22,,
1105,2026-08-13 10:12:04,Linda Bautista,oleh11@example.net,507815,872789,Incalplas,77.61,97,31.04,13.97,,
1106,2026-08-28 04:37:26,Йосип Акуленко,christy26@example.org,508009,873181,Ionity Ionityp Udasjärvi,24.94,49,9.98,4.49,,
1107,2026-08-13 22:50:37,Ярема Малик,zbell@example.com,507919,872979,2898 - הרב אבא אבוחצירא (פרטי),37.83,47,15.13,6.81,,
1108,2026-08-17 22:45:17,Ярослава Ісаєнко,susanmorris@example.org,508009,873181,Ionityi Onity Pudasjärvi,65.44,69,26.18,11.78,,
1109,2026-09-03 16:21:15,Зиновій Каденюк,hanna84@example.net,507890,872915,A1: Shorouk 1 ⛽,23.3,68,9.32,4.19,,
1110,2026-08-15 10:51:37,Вдовиченко Герман Тимофійович,sivashchenko@example.org,507863,872869,[EVE] Axion Cardona,11.16,19,4.46,2.01,,
1111,2026-08-17 13:18:54,James Willis,eibozhenkotetiana@example.net,507806,872777,Manises,28.18,108,11.27,5.07,,
1112,2026-08-31 02:32:12,Андрій Верес,dustin58@example.com,507763,872674,Eldrive Lithuania Paanemunės Baseinas,17.9,73,7.16,3.22,,
1113,2026-08-12 07:21:57,Kristin Aguilar,samanthagarcia@example.net,507931,873009,Fir Ccib,79.38,72,31.75,14.29,,
1114,2026-09-04 08:42:41,Destiny Obrien,nguyenjeffrey@example.org,507922,872996,Ev24 Chargingg Station,69.65,58,27.86,12.54,,
1115,2026-08-11 02:28:32,Ткаченко Ада Геннадіївна,solomiiabaidak@example.org,507763,872662,Eldrive Lihuania Panemunės Baseinas,55.67,73,22.27,10.02,,
1116,2026-08-13 04:11:42,пані Богуслава Вобла,marthalucero@example.org,507742,872630,AmericaWant AW00009,74.72,41,29.89,13.45,,
1117,2026-08-16 17:18:09,Bruce Palmer,,507763,872667,Eldrive Lithuania Panemunės Baseinas,69.29,16,27.72,12.47,,
1118,2026-09-01 05:20:56,Robin Andrews,zmalyk@example.org,507771,872713,ЖК Сколково Уан,19.93,30,7.97,3.59,,
1119,2026-08-19 00:34:11,Kristine Carrillo,verkhovynetsleonid@example.org,508022,873199,Plenoil la Orotava 2,76.4,29,30.56,13.75,,
1120,2026-08-11 11:51:04,Judy Murray,jperry@example.net,507771,872714,Жк Соклково Уан,48.15,35,19.26,8.67,,
1121,2026-08-27 01:04:18,Комар Ганна Ігнатівна,hsych@example.net,507919,872978,2898 - הרב אבבא אבוחצירא (פרטי),69.6,77,27.84,12.53,,
1122,2026-08-27 14:24:37,Владислав Онуфрієнко,tfrancis@example.com,508013,873188,Watanya: Assyut West RD ⛽,76.69,119,30.68,13.8,,
1123,2026-08-30 17:39:33,Kelli Smith,pwood@example.com,507746,872635,Enerrgía Nufri,30.44,95,12.18,5.48,,
1124,2026-08-29 04:22:31,Brandon Nunez,rubiodennis@example.net,507867,872875,Caldas Da Rainha (Zunder),-15.5,24,-6.2,-2.79,,
1125,2026-08-16 03:53:14,Timothy Woods,vasylavramchuk@example.net,507866,872874,Mobive | La Souterraine | Rue des Fossés des Canards,23.23,113,9.29,4.18,,
1126,2026-08-23 01:13:32,Kenneth White,daniel93@example.net,508013,873188,Wataya: Assyut West Rd ⛽,39.17,94,15.67,7.05,,
1127,2026-08-11 11:40:26,Жук Клавдія Симонівна,stevenandrews@example.org,507920,872989,2979 - משרדים,70.44,88,28.18,12.68,,
1128,2026-08-23 20:54:43,Веніямин Ільченко,bcrawford@example.org,507959,873058,"Svylos Gatvė 8, Vinius",73.86,95,29.54,13.29,,
1129,2026-08-11 01:57:22,Тарас Рудько,havrylivfrants@example.net,507812,872786,Mercadona Centro Logístico Vitoria,5.56,101,2.22,1.0,,
1130,2026-09-02 01:23:57,Богодар Василенко,alina21@example.net,508001,873171,Virta north Seurakuntatalo,45.86,23,18.34,8.25,,
1131,2026-08-11 09:48:20,Pamela Weaver,blevinsjoshua@example.com,507724,872600,"Arinna Garden Sitesi, Çorum Merkez - AC 2",38.39,36,15.36,6.91,,
1132,2026-08-17 16:02:16,Зорян Оніщук,tsalii@example.org,507763,872668,Eldrive Lithuania Panemunės Baseinas,22.77,114,9.11,4.1,,
1133,2026-09-06 12:48:08,Sierra Andrews,dorothycollins@example.net,507983,873114,Posto Vila Flor - RJ Eletropostos,,49,,,,
1134,2026-08-20 01:34:06,William Moon IV,jesse86@example.org,507816,872791,Biterie Torbidea,32.01,67,12.8,5.76,,
1135,2026-08-14 11:12:50,Богуслав Бандера,arellanobrian@example.com,507829,872813,Wesco Reed City,80.43,37,32.17,14.48,,
1136,2026-09-05 18:01:32,Joshua Shaw,zakharchenkobohuslav@example.net,507763,872667,Eldrivelithuania Panemunės Baseinas,30.86,35,12.34,5.55,,
1137,2026-08-12 15:03:13,Patty Bryant,jessicawright@example.net,507820,872799,Carrefour Lucena (Endesa),46.5,72,18.6,8.37,,
1138,2026-09-05 23:33:49,Костянтин Онуфрієнко,amvrosiimasliak@example.com,507919,872981,2898 - הרב אבא אבוחצירא (פרטי),61.24,75,24.5,11.02,,
1139,2026-08-21 07:21:00,Ірина Скопенко,valerii16@example.net,507771,872714,ЖК Сколково Уан,34.09,34,13.64,6.14,,
1140,2026-08-23 21:35:12,Лілія Єременко,ejames@example.org,507919,872986,2898 - הרב אבא אבוחצירא (פרטי),82.74,12,33.1,14.89,,
1141,2026-08-21 12:59:58,John Austin,codykelly@example.net,507714,872553,Präg Express Ladestelle,82.0,81,32.8,14.76,,
1142,2026-08-15 00:01:13,Jeff Barnes,victor24@example.com,507815,872789,Incalpplas,25.14,53,10.06,4.53,,
1143,2026-08-30 20:14:28,James Hayes,pavlomakohon@example.net,507929,873006,Sligo Bus Depot,44.78,106,17.91,8.06,,
1144,2026-08-12 04:03:17,Ільченко Станіслав Артемович,khoma18@example.com,507780,872727,Warren Lodge ,29.07,51,11.63,5.23,,
1145,2026-08-30 21:28:38,Kristi Chase,vlokhbohodar@example.net,507930,873007,Galawy Bus Depot,27.79,108,11.12,5.0,,
1146,2026-08-12 04:53:27,Данна Штепа,jacksontamara@example.net,507763,872666,Eldrive Lithuania Panemunės Baseinas,7.95,15,3.18,1.43,,
1147,2026-09-02 04:56:04,Христина Ґалаґан,deinekasviatoslav@example.com,508022,873199,Plenoil la Orotava 2,53.77,48,21.51,9.68,,
1148,2026-08-15 01:51:33,Elizabeth Hart,boleslav23@example.net,507821,872800,FOC AC-Charger,45.21,61,18.08,8.14,,
1149,2026-08-11 23:41:01,Дарина Бараник,amandadaugherty@example.org,507930,873007,Galwa Ybus Depot,9.12,32,3.65,1.64,,
1150,2026-08-26 14:03:58,Лесь Верхола,erika27@example.net,508017,873193,Parking Viaaugusta,27.29,98,10.92,4.91,,
1151,2026-08-16 07:19:28,Debbie Ward,feofanbarannyk@example.net,507803,872770,Hotel Laksa Ciaetr,77.66,59,31.06,13.98,,
1152,2026-09-04 00:25:51,Jason Bell,hrechkomyroslav@example.org,507771,872713,ЖК Сколково Уан,24.16,52,9.66,4.35,,
1153,2026-09-07 08:11:32,Онисим Дубина,brittanyjackson@example.org,507866,872872,Mobive | La Souterraine | Rue des Fossés des Canards,16.59,28,6.64,2.99,,
1154,2026-09-04 13:41:40,Michael Freeman,carrieosborn@example.com,507772,872715,Гостиница Карелия 282 км,44.16,78,17.66,7.95,,
1155,2026-08-13 16:13:23,Jane Mitchell,hbowers@example.net,507990,873122,[eOne] Campera Almacen 1,83.85,60,33.54,15.09,,
1156,2026-08-21 11:39:40,Олесь Приймак,leontii52@example.org,507959,873058,"Svylo Sgatvė 8, Vilnius",24.36,20,9.74,4.38,,
1157,2026-08-13 20:14:31,Laura Sweeney,laurawilliams@example.org,507714,872553,Präg Exprss Ladestelle,58.77,21,23.51,10.58,,
1158,2026-08-21 20:50:41,Надія Ільєнко,abbottchristopher@example.net,508015,873190,Csiic Icifor,65.93,83,26.37,11.87,,
1159,2026-09-07 00:12:50,Eddie Adams,psherman@example.org,507825,872808,Clle Alfred Nóbel,24.01,17,9.6,4.32,,
1160,2026-08-25 07:01:14,Jeremy Roy,derek34@example.net,507921,872995,2979  - Dc,-15.5,33,-6.2,-2.79,,
1161,2026-08-21 11:05:58,Kelly Cole,fgraham@example.com,507736,872615,Clle Montalbán,34.42,101,13.77,6.2,,
1162,2026-08-20 20:06:48,Алла Гречко,uzaichenko@example.net,507763,872667,Eldrive Lithuania Panemunės Baseinas,55.58,50,22.23,10.0,,
1163,2026-08-13 03:04:17,Ярослав Василечко,ytorres@example.com,507863,872869,[EVE] Axion Cardona,55.68,45,22.27,10.02,,
1164,2026-08-22 01:53:30,Василина Верховинець,sirchenkovalerii@example.com,507823,872803,Familcyash Montilla,47.86,110,19.14,8.61,,
1165,2026-08-08 19:40:01,пан Альберт Артим,artem80@example.org,507809,872783,Hotel Restaurante HQ La Galería,12.22,94,4.89,2.2,,
1166,2026-08-14 23:57:07,Whitney Garcia,ilopez@example.org,507744,872633,AmericaWant AW00011,71.82,81,28.73,12.93,,
1167,2026-08-16 11:47:33,Соломія Оберемко,williammaldonado@example.org,507809,872783,Hotel Restaurante Hq La Galerría,30.66,64,12.26,5.52,,
1168,2026-09-04 10:17:25,Марія Чаленко,fartushniakzorian@example.org,508005,873175,Plugit Ideapark Seinäjoki / K-Citymarket Ideapark,19.92,18,7.97,3.59,,
1169,2026-09-04 21:02:23,Едита Артюх,kleintyler@example.net,507763,872659,Eldrive Lithuania Panemunės Baseinas,8.26,56,3.3,1.49,,
1170,2026-08-14 01:52:43,Трохим Павличенко,korpaniukeduard@example.net,507763,872660,Eldrive Lithuania Panemunės Baseinas,52.27,24,20.91,9.41,,
1171,2026-08-15 21:11:48,Seth Donovan,avhustyn35@example.org,507921,872994,2979 - DC,59.21,57,23.68,10.66,,
1172,2026-08-26 13:42:14,Travis Ryan,nathanmonroe@example.org,507746,872636,Energía Nufri,6.33,119,2.53,1.14,,
1173,2026-08-29 12:16:26,Madison Elliott,lizaiaremchuk@example.net,507961,873060,"Svylos Gatvė 16, Vilniuus",45.97,113,18.39,8.27,,
1174,2026-08-10 16:16:12,Karen Perez,tbecker@example.net,507763,872671,Eldrive Lithuania Panemunės Baseinas,,91,,,,
1175,2026-08-26 08:23:09,пані Лілія Дейнека,shelbyvaldez@example.com,507763,872671,Eldrive Lithuania Panemunės Baseinas,56.61,51,22.64,10.19,,
1176,2026-08-26 00:24:50,Joseph Chang,perryrobert@example.com,507920,872991,2979 - משרדים,18.95,69,7.58,3.41,,
1177,2026-08-20 18:15:33,Тереза Ажажа,makymenko@example.org,508000,873170,Hotel Hotelli Omenatarha,60.28,93,24.11,10.85,,
1178,2026-08-25 19:36:05,Karen Smith,dominguezshane@example.net,507779,872724,Mcdonald'S  - Gallagher Retail Park,35.94,79,14.38,6.47,,
1179,2026-08-16 03:36:13,Linda Robles,korpaniukvladyslav@example.org,507815,872789,Inclaplas,79.94,21,31.98,14.39,,
1180,2026-08-16 12:51:51,Stephen Kim,lhutsuliak@example.net,507959,873058,"Svylos gatvė 8, Vilnius",16.0,11,6.4,2.88,,
1181,2026-08-28 15:53:38,Соломія Скирда,sherryscott@example.net,508017,873193,Paring Via Augusta,32.29,16,12.92,5.81,,
1182,2026-08-17 08:30:23,Олена Калениченко,amanda49@example.com,507919,872978,2898 - הרב אבא אבוחצירא (פרטי),14.08,89,5.63,2.53,,
1183,2026-08-28 15:13:00,Patrick Lamb,matiashillia@example.org,507806,872775,Manises,78.98,12,31.59,14.22,,
1184,2026-08-21 14:23:14,Barry Taylor,davidcowan@example.com,507990,873122,[Eone] Camperra Almacen 1,75.19,118,30.08,13.53,,
1185,2026-08-13 21:28:35,Олекса Чуйко,rodriguezbenjamin@example.com,507804,872771,Fastned - Mundolsheim,25.64,12,10.26,4.62,,
1186,2026-08-10 12:39:12,Katherine Flores,iurchyshynaoryna@example.org,507823,872804,Failycash Montilla,57.8,36,23.12,10.4,,
1187,2026-08-19 10:41:24,Алла Ємець,xzinchuk@example.com,507890,872915,A1 :Shorouk 1 ⛽,70.38,116,28.15,12.67,,
1188,2026-08-30 23:49:41,Віра Цушко,,507866,872872,Mobive | La Souterraine | Rue Des Fossés Ddes Canards,49.42,49,19.77,8.9,,
1189,2026-08-23 11:06:33,Данна Андрейко,xievtushok@example.org,507919,872982,2898 - הרבב אבא אבוחצירא (פרטי),47.37,0,18.95,8.53,,
